id|jcc_id|number|city|is_deleted|deleted_date
175|9|0921|Azumino|0|
176|10|100101|Chiyoda|0|
177|10|100102|Chuo|0|
178|10|100103|Minato|0|
179|10|100104|Shinjuku|0|
180|10|100105|Bunkyo|0|
181|10|100106|Taito|0|
182|10|100107|Sumida|0|
183|10|100108|Koto|0|
184|10|100109|Shinagawa|0|
185|10|100110|Meguro|0|
186|10|100111|Ota|0|
187|10|100112|Setagaya|0|
188|10|100113|Shibuya|0|
189|10|100114|Nakano|0|
190|10|100115|Suginami|0|
191|10|100116|Toshima|0|
192|10|100117|Kita|0|
193|10|100118|Arakawa|0|
194|10|100119|Itabashi|0|
195|10|100120|Nerima|0|
196|10|100121|Adachi|0|
197|10|100122|Katsushika|0|
198|10|100123|Edogawa|0|
199|10|1002|Tokyo|1|2010-03-31
200|10|1002|Hachioji|0|
201|10|1003|Tachikawa|0|
202|10|1004|Musashino|0|
203|10|1005|Mitaka|0|
204|10|1006|Ome|0|
205|10|1007|Fuchu|0|
206|10|1008|Akishima|0|
207|10|1009|Chofu|0|
208|10|1010|Machida|0|
209|10|1011|Koganei|0|
210|10|1012|Kodaira|0|
211|10|1013|Hino|0|
212|10|1014|Higashimurayama|0|
213|10|1015|Kokubunji|0|
214|10|1016|Kunitachi|0|
215|10|1017|Hoya|1|2001-01-20
216|10|1018|Tanashi|1|2001-01-20
217|10|1019|Fussa|0|
218|10|1020|Komae|0|
219|10|1021|Higashiyamato|0|
220|10|1022|Kiyose|0|
221|10|1023|Higashikurume|0|
222|10|1024|Musashimurayama|0|
223|10|1025|Tama|0|
224|10|1026|Inagi|0|
225|10|1027|Akigawa|1|1995-08-31
226|10|1028|Hamura|0|
227|10|1029|Akiruno|0|
228|10|1030|Nishitokyo|0|
229|11|1101|Yokohama|0|
230|11|1102|Yokosuka|0|
231|11|1103|Kawasaki|0|
232|11|1104|Hiratsuka|0|
233|11|1105|Kamakura|0|
234|11|1106|Fujisawa|0|
235|11|1107|Odawara|0|
236|11|1108|Chigasaki|0|
237|11|1109|Zushi|0|
238|11|1110|Sagamihara|0|
239|11|1111|Miura|0|
240|11|1112|Hadano|0|
241|11|1113|Atsugi|0|
242|11|1114|Yamato|0|
243|11|1115|Isehara|0|
244|11|1116|Ebina|0|
245|11|1117|Zama|0|
246|11|1118|Minamiashigara|0|
247|11|1119|Ayase|0|
248|12|1201|Chiba|0|
249|12|1202|Choshi|0|
250|12|1203|Ichikawa|0|
251|12|1204|Funabashi|0|
252|12|1205|Tateyama|0|
253|12|1206|Kisarazu|0|
254|12|1207|Matsudo|0|
255|12|1208|Noda|0|
256|12|1209|Sawara|1|2006-03-26
257|12|1210|Mobara|0|
258|12|1211|Narita|0|
259|12|1212|Sakura|0|
260|12|1213|Togane|0|
261|12|1214|Yokaichiba|1|2006-01-22
262|12|1215|Asahi|0|
263|12|1216|Narashino|0|
264|12|1217|Kashiwa|0|
265|12|1218|Katsuura|0|
266|12|1219|Ichihara|0|
267|12|1220|Nagareyama|0|
268|12|1221|Yachiyo|0|
269|12|1222|Abiko|0|
270|12|1223|Kamogawa|0|
271|12|1224|Kimitsu|0|
272|12|1225|Kamagaya|0|
273|12|1226|Futtu|0|
274|12|1227|Urayasu|0|
275|12|1228|Yotsukaido|0|
276|12|1229|Sodegaura|0|
277|12|1230|Yachimata|0|
278|12|1231|Inzai|0|
279|12|1232|Shiroi|0|
280|12|1233|Tomisato|0|
281|12|1234|Minamiboso|0|
282|12|1235|Sosa|0|
283|12|1236|Katori|0|
284|12|1237|Sanmu|0|
285|12|1238|Isumi|0|
286|12|1239|Oamishirasato|0|
287|13|1301|Urawa|1|2001-04-20
288|13|1302|Kawagoe|0|
289|13|1303|Kumagaya|0|
290|13|1304|Kawaguchi|0|
291|13|1305|Omiya|1|2001-04-30
292|13|1306|Gyoda|0|
293|13|1307|Chichibu|0|
294|13|1308|Tokorozawa|0|
295|13|1309|Hanno|0|
296|13|1310|Kazo|0|
297|13|1311|Honjo|0|
298|13|1312|Higashimatsuyama|0|
299|13|1313|Iwatsuki|1|
300|13|1314|Kasukabe|0|2005-03-31
301|13|1315|Sayama|0|
302|13|1316|Hanyu|0|
303|13|1317|Konosu|0|
304|13|1318|Fukaya|0|
305|13|1319|Ageo|0|
306|13|1320|Yono|1|2001-4-31
307|13|1321|Soka|0|
308|13|1322|Koshigaya|0|
309|13|1323|Warabi|0|
310|13|1324|Toda|0|
311|13|1325|Iruma|0|
312|13|1326|Hatogaya|1|2011-10-10
313|13|1327|Asaka|0|
314|13|1328|Shiki|0|
315|13|1329|Wako|0|
316|13|1330|Niiza|0|
317|13|1331|Okegawa|0|
318|13|1332|Kuki|0|
319|13|1333|Kitamoto|0|
320|13|1334|Yashio|0|
321|13|1335|Kamifukuoka|1|2005-09-30
